sample,genotyper,celltype,gene,TE,seTE,lower,upper,n_cells
INCOV003-BL,arcasHLA,CD8 T,A,0.5573773503488078,0.1274144709961304,0.3076495760871689,0.8071051246104466,58
INCOV003-BL,arcasHLA,CD4 T,A,0.6455910482763623,0.04438441609181371,0.5585991912615674,0.7325829052911571,823
INCOV003-BL,arcasHLA,CD14 Monocyte,A,0.6658223177997238,0.03437270051043413,0.5984530627478913,0.7331915728515562,1768
INCOV003-BL,arcasHLA,pDC,A,0.9360154640309397,0.32632995462017833,0.2964205058988001,1.5756104221630793,12
INCOV003-BL,arcasHLA,B,A,0.6731472542561059,0.15391745054424402,0.37147459459716275,0.9748199139150491,88
INCOV003-BL,arcasHLA,cDC,A,0.5837323991246511,0.15256111310852277,0.28471811199060504,0.8827466862586972,25
INCOV003-BL,arcasHLA,NK,A,0.5116130111033662,0.11331359541295226,0.28952244513523673,0.7337035770714957,81
INCOV003-BL,arcasHLA,CD16 Monocyte,A,0.7002702814147199,0.19572613340366005,0.3166541091102643,1.0838864537191755,32
INCOV003-BL,arcasHLA,CD8 T,B,0.7450125563988417,0.10302928561229413,0.5430788672458544,0.9469462455518289,57
INCOV003-BL,arcasHLA,CD14 Monocyte,B,0.6966349695390865,0.028426179525973608,0.6409206814501084,0.7523492576280647,1858
INCOV003-BL,arcasHLA,CD4 T,B,0.725748881725192,0.032271829877337475,0.6624972574504069,0.7890005059999772,856
INCOV003-BL,arcasHLA,pDC,B,0.8423433068456109,0.2032719512201873,0.44393760338686117,1.2407490103043606,12
INCOV003-BL,arcasHLA,B,B,0.6243027705268707,0.10493170036510355,0.4186404169747193,0.829965124079022,92
INCOV003-BL,arcasHLA,CD16 Monocyte,B,0.6229877066305278,0.1430435366727266,0.34262752653074935,0.9033478867303063,38
INCOV003-BL,arcasHLA,cDC,B,0.9294789135546419,0.12411337605214089,0.6862211664927698,1.172736660616514,25
INCOV003-BL,arcasHLA,NK,B,0.6958104177171087,0.10001643611783606,0.499781805064099,0.8918390303701185,79
INCOV003-BL,arcasHLA,CD8 T,C,5.0562446622704105,0.42600288515698365,4.22129435005257,5.891194974488251,58
INCOV003-BL,arcasHLA,CD4 T,C,4.50244100699765,0.11160061588241665,4.283707819215625,4.721174194779675,860
INCOV003-BL,arcasHLA,CD14 Monocyte,C,4.150711863814244,0.07557212011062459,4.002593230162085,4.298830497466404,1937
INCOV003-BL,arcasHLA,pDC,C,5.236621511157577,0.9671093494678005,3.3411220170887277,7.132121005226427,11
INCOV003-BL,arcasHLA,B,C,4.302415737953958,0.3454727866839027,3.6253015184148203,4.979529957493096,91
INCOV003-BL,arcasHLA,CD16 Monocyte,C,4.912269101759504,0.5271510593711569,3.8790720109799013,5.945466192539107,38
INCOV003-BL,arcasHLA,cDC,C,5.666320045722235,0.6384128104778585,4.415053929916637,6.917586161527832,25
INCOV003-BL,arcasHLA,NK,C,4.823889363358709,0.3597672201963159,4.118758568955839,5.529020157761579,82
INCOV003-BL,arcasHLA,CD8 T,DPA1,2.96897172702714,0.5894281731027581,1.813713736272494,4.124229717781786,37
INCOV003-BL,arcasHLA,CD4 T,DPA1,2.5217459679095695,0.30230698862990985,1.9292351579201867,3.1142567778989525,152
INCOV003-BL,arcasHLA,CD14 Monocyte,DPA1,2.9976561649035225,0.1351422995868564,2.732782124925362,3.262530204881683,705
INCOV003-BL,arcasHLA,pDC,DPA1,4.773319413147639,0.9863882521602323,2.8400339641401704,6.706604862155107,11
INCOV003-BL,arcasHLA,B,DPA1,4.449068150492898,0.34604097396203604,3.7708403043521446,5.12729599663365,90
INCOV003-BL,arcasHLA,CD16 Monocyte,DPA1,4.286632578382504,0.5417445334181725,3.22483280406143,5.348432352703577,38
INCOV003-BL,arcasHLA,cDC,DPA1,6.489878635141915,0.6352982384363434,5.244716968364942,7.735040301918888,25
INCOV003-BL,arcasHLA,NK,DPA1,2.692915976935729,0.638812482374923,1.440866518606252,3.944965435265206,33
INCOV003-BL,arcasHLA,CD14 Monocyte,DPB1,2.851525091488194,0.14996524195480168,2.5575986183239476,3.1454515646524404,585
INCOV003-BL,arcasHLA,pDC,DPB1,4.391389429005832,0.9493873134927217,2.5306244871808605,6.252154370830803,12
INCOV003-BL,arcasHLA,B,DPB1,3.9935340919621756,0.34994245145218084,3.307659490454245,4.679408693470107,92
INCOV003-BL,arcasHLA,cDC,DPB1,5.926150264220312,0.6373505554910559,4.6769661299312455,7.175334398509379,25
INCOV003-BL,arcasHLA,NK,DPB1,2.6776452336872207,0.6487239060429911,1.4061697419328125,3.949120725441629,32
INCOV003-BL,arcasHLA,CD4 T,DPB1,2.4594688203627584,0.35282224280787144,1.7679499315146843,3.1509877092108325,113
INCOV003-BL,arcasHLA,CD16 Monocyte,DPB1,3.7249967627058065,0.5714309268824938,2.605012726363778,4.8449807990478355,36
INCOV003-BL,arcasHLA,CD8 T,DPB1,3.0687080640951874,0.6378328957711388,1.8185785602288655,4.318837567961509,31
INCOV003-BL,arcasHLA,pDC,DQA1,1.656131662223961,1.2060673248897842,-0.7077168574905837,4.0199801819385055,7
INCOV003-BL,arcasHLA,B,DQA1,1.493731448756599,0.2530178527452005,0.9978255699303472,1.9896373275828507,75
INCOV003-BL,arcasHLA,cDC,DQA1,1.0784085401197603,0.2238003225399351,0.6397679682130399,1.5170491120264806,22
INCOV003-BL,arcasHLA,NK,DQA1,2.3978952727983707,1.6877454928053721,-0.9100251081699628,5.705815653766704,5
INCOV003-BL,arcasHLA,CD14 Monocyte,DQA1,2.2974241978136227,0.3880016624415502,1.5369549134865172,3.057893482140728,88
INCOV003-BL,arcasHLA,CD16 Monocyte,DQA1,2.558696737091902,1.2363920649167672,0.1354128190839301,4.981980655099874,9
INCOV003-BL,arcasHLA,CD4 T,DQA1,2.3978952727983702,0.9744203145947592,0.48806655038845337,4.307723995208287,15
INCOV003-BL,arcasHLA,CD8 T,DQA1,2.5025388228526464,1.4105303647602612,-0.26204989117761013,5.267127536882903,7
INCOV003-BL,arcasHLA,CD14 Monocyte,DQB1,2.140702254194682,0.2863955331829712,1.5793773238229125,2.702027184566451,153
INCOV003-BL,arcasHLA,CD4 T,DQB1,2.4468509373771665,0.3646520526825204,1.7321460472308243,3.1615558275235087,106
INCOV003-BL,arcasHLA,B,DQB1,0.958827617011164,0.24795416416597618,0.4728463854291188,1.4448088485932093,68
INCOV003-BL,arcasHLA,cDC,DQB1,0.5448901245009766,0.20891522764287485,0.1354238024989553,0.9543564465029979,25
INCOV003-BL,arcasHLA,NK,DQB1,2.543110520075055,1.6616223177542586,-0.713609378631261,5.7998304187813705,5
INCOV003-BL,arcasHLA,CD16 Monocyte,DQB1,2.479687021072243,1.2470416333826435,0.03553033242026027,4.923843709724226,9
INCOV003-BL,arcasHLA,pDC,DQB1,1.065238412616077,0.8679668844873906,-0.6359454207526454,2.766422245984799,7
INCOV003-BL,arcasHLA,CD8 T,DQB1,2.3978952727983702,1.4264052841433372,-0.39780771148019234,5.193598257076933,7
INCOV003-BL,arcasHLA,CD4 T,DRB1,2.1241753033023865,0.39596131099992005,1.34810539447128,2.900245212133493,83
INCOV003-BL,arcasHLA,CD14 Monocyte,DRB1,1.2497929098601652,0.07693020385586104,1.0990124809793533,1.4005733387409771,990
INCOV003-BL,arcasHLA,pDC,DRB1,1.5613153271075357,0.4014551238852574,0.7744777428833658,2.348152911331706,12
INCOV003-BL,arcasHLA,B,DRB1,1.5873197373894858,0.19641246850391142,1.2023583730072118,1.9722811017717599,88
INCOV003-BL,arcasHLA,CD16 Monocyte,DRB1,1.1176670141660463,0.23101877399379317,0.6648785373856133,1.5704554909464794,35
INCOV003-BL,arcasHLA,cDC,DRB1,1.634692765853851,0.11748089698075044,1.4044344389001198,1.8649510928075823,25
INCOV003-BL,arcasHLA,CD8 T,DRB1,1.392976328062116,0.6750316496986966,0.06993860622801296,2.716014049896219,19
INCOV003-BL,arcasHLA,NK,DRB1,2.4595055645042327,1.0823129126578963,0.3382112356921114,4.580799893316354,12
INCOV003-BL,hlaminer,CD8 T,A,0.38566732634995254,0.12221940661179073,0.1461216911789862,0.6252129615209189,59
