sample,n_cells
INCOV001-CV_C0005,14
INCOV001-CV_C001,28
INCOV001-CV_C01,282
INCOV002-CV_C0005,18
INCOV002-CV_C001,37
INCOV002-CV_C01,373
INCOV003-AC_C0005,15
INCOV003-AC_C001,30
INCOV003-AC_C01,300
INCOV003-BL_C0005,18
INCOV003-BL_C001,37
INCOV003-BL_C01,376
INCOV003-CV_C0005,27
INCOV003-CV_C001,55
INCOV003-CV_C01,552
INCOV005-AC_C0005,22
INCOV005-AC_C001,44
INCOV005-AC_C01,449
INCOV005-BL_C0005,9
INCOV005-BL_C001,18
INCOV005-BL_C01,185
INCOV005-CV_C0005,13
INCOV005-CV_C001,26
INCOV005-CV_C01,262
INCOV006-AC_C0005,28
INCOV006-AC_C001,56
INCOV006-AC_C01,561
INCOV006-BL_C0005,6
INCOV006-BL_C001,13
INCOV006-BL_C01,132
INCOV006-CV_C0005,17
INCOV006-CV_C001,34
INCOV006-CV_C01,341
INCOV007-AC_C0005,9
INCOV007-AC_C001,19
INCOV007-AC_C01,192
INCOV007-BL_C0005,15
INCOV007-BL_C001,31
INCOV007-BL_C01,314
INCOV007-CV_C0005,13
INCOV007-CV_C001,27
INCOV007-CV_C01,274
INCOV008-BL_C0005,13
INCOV008-BL_C001,26
INCOV008-BL_C01,263
INCOV009-AC_C0005,16
INCOV009-AC_C001,32
INCOV009-AC_C01,322
INCOV009-BL_C0005,20
INCOV009-BL_C001,41
INCOV009-BL_C01,411
INCOV009-CV_C0005,25
INCOV009-CV_C001,50
INCOV009-CV_C01,501
INCOV010-AC_C0005,15
INCOV010-AC_C001,30
INCOV010-AC_C01,302
INCOV010-BL_C0005,31
INCOV010-BL_C001,62
INCOV010-BL_C01,620
INCOV010-CV_C0005,1
INCOV010-CV_C001,2
INCOV010-CV_C01,25
INCOV011-AC_C0005,10
INCOV011-AC_C001,21
INCOV011-AC_C01,214
INCOV011-BL_C0005,7
INCOV011-BL_C001,14
INCOV011-BL_C01,144
INCOV012-AC_C0005,17
INCOV012-AC_C001,35
INCOV012-AC_C01,356
INCOV012-BL_C0005,16
INCOV012-BL_C001,32
INCOV012-BL_C01,325
INCOV012-CV_C0005,15
INCOV012-CV_C001,30
INCOV012-CV_C01,306
INCOV013-AC_C0005,6
INCOV013-AC_C001,13
INCOV013-AC_C01,133
INCOV013-BL_C0005,33
INCOV013-BL_C001,66
INCOV013-BL_C01,662
INCOV013-CV_C0005,12
INCOV013-CV_C001,24
INCOV013-CV_C01,244
INCOV014-BL_C0005,16
INCOV014-BL_C001,32
INCOV014-BL_C01,326
INCOV015-AC_C0005,16
INCOV015-AC_C001,32
INCOV015-AC_C01,328
INCOV015-BL_C0005,8
INCOV015-BL_C001,17
INCOV015-BL_C01,170
INCOV016-AC_C0005,27
INCOV016-AC_C001,55
INCOV016-AC_C01,556
INCOV016-BL_C0005,32
INCOV016-BL_C001,65
INCOV016-BL_C01,650
INCOV016-CV_C0005,6
INCOV016-CV_C001,12
INCOV016-CV_C01,121
INCOV017-AC_C0005,0
INCOV017-AC_C001,0
INCOV017-AC_C01,0
INCOV017-BL_C0005,0
INCOV017-BL_C001,0
INCOV017-BL_C01,0
INCOV017-CV_C0005,10
INCOV017-CV_C001,20
INCOV017-CV_C01,207
INCOV018-AC_C0005,5
INCOV018-AC_C001,10
INCOV018-AC_C01,100
INCOV018-BL_C0005,3
INCOV018-BL_C001,6
INCOV018-BL_C01,66
INCOV018-CV_C0005,7
INCOV018-CV_C001,15
INCOV018-CV_C01,153
INCOV019-AC_C0005,14
INCOV019-AC_C001,29
INCOV019-AC_C01,297
INCOV019-BL_C0005,12
INCOV019-BL_C001,24
