sample,locus,field,genotyper,accuracy
INCOV001-CV,A,field_1,arcasHLA,0
INCOV001-CV,A,field_1,hlaminer,0
INCOV001-CV,A,field_1,optitype,0
INCOV001-CV,A,field_1,phlat,0
INCOV001-CV,A,field_2,arcasHLA,0
INCOV001-CV,A,field_2,hlaminer,0
INCOV001-CV,A,field_2,optitype,0
INCOV001-CV,A,field_2,phlat,0
INCOV001-CV,A,field_3,arcasHLA,0
INCOV001-CV,A,field_3,hlaminer,0
INCOV001-CV,A,field_3,optitype,0
INCOV001-CV,A,field_3,phlat,0
INCOV001-CV,B,field_1,arcasHLA,0
INCOV001-CV,B,field_1,hlaminer,0
INCOV001-CV,B,field_1,optitype,0
INCOV001-CV,B,field_1,phlat,0
INCOV001-CV,B,field_2,arcasHLA,0
INCOV001-CV,B,field_2,hlaminer,0
INCOV001-CV,B,field_2,optitype,0
INCOV001-CV,B,field_2,phlat,0
INCOV001-CV,B,field_3,arcasHLA,0
INCOV001-CV,B,field_3,hlaminer,0
INCOV001-CV,B,field_3,optitype,0
INCOV001-CV,B,field_3,phlat,0
INCOV001-CV,C,field_1,arcasHLA,0.5
INCOV001-CV,C,field_1,hlaminer,0
INCOV001-CV,C,field_1,optitype,0.5
INCOV001-CV,C,field_1,phlat,0.5
INCOV001-CV,C,field_2,arcasHLA,0
INCOV001-CV,C,field_2,hlaminer,0
INCOV001-CV,C,field_2,optitype,0.5
INCOV001-CV,C,field_2,phlat,0
INCOV001-CV,C,field_3,arcasHLA,0
INCOV001-CV,C,field_3,hlaminer,0
INCOV001-CV,C,field_3,optitype,0
INCOV001-CV,C,field_3,phlat,0
INCOV001-CV,DPA1,field_1,arcasHLA,1
INCOV001-CV,DPA1,field_1,hlaminer,1
INCOV001-CV,DPA1,field_1,optitype,0
INCOV001-CV,DPA1,field_1,phlat,0
INCOV001-CV,DPA1,field_2,arcasHLA,0.5
INCOV001-CV,DPA1,field_2,hlaminer,0.5
INCOV001-CV,DPA1,field_2,optitype,0
INCOV001-CV,DPA1,field_2,phlat,0
INCOV001-CV,DPA1,field_3,arcasHLA,0.5
INCOV001-CV,DPA1,field_3,hlaminer,0
INCOV001-CV,DPA1,field_3,optitype,0
INCOV001-CV,DPA1,field_3,phlat,0
INCOV001-CV,DPB1,field_1,arcasHLA,0
INCOV001-CV,DPB1,field_1,hlaminer,0
INCOV001-CV,DPB1,field_1,optitype,0
INCOV001-CV,DPB1,field_1,phlat,0
INCOV001-CV,DPB1,field_2,arcasHLA,0
INCOV001-CV,DPB1,field_2,hlaminer,0
INCOV001-CV,DPB1,field_2,optitype,0
INCOV001-CV,DPB1,field_2,phlat,0
INCOV001-CV,DPB1,field_3,arcasHLA,0
INCOV001-CV,DPB1,field_3,hlaminer,0
INCOV001-CV,DPB1,field_3,optitype,0
INCOV001-CV,DPB1,field_3,phlat,0
INCOV001-CV,DQA1,field_1,arcasHLA,0.5
INCOV001-CV,DQA1,field_1,hlaminer,0.5
INCOV001-CV,DQA1,field_1,optitype,0
INCOV001-CV,DQA1,field_1,phlat,0.5
INCOV001-CV,DQA1,field_2,arcasHLA,0
INCOV001-CV,DQA1,field_2,hlaminer,0
INCOV001-CV,DQA1,field_2,optitype,0
INCOV001-CV,DQA1,field_2,phlat,0
INCOV001-CV,DQA1,field_3,arcasHLA,0
INCOV001-CV,DQA1,field_3,hlaminer,0
INCOV001-CV,DQA1,field_3,optitype,0
INCOV001-CV,DQA1,field_3,phlat,0
INCOV001-CV,DQB1,field_1,arcasHLA,0.5
INCOV001-CV,DQB1,field_1,hlaminer,0.5
INCOV001-CV,DQB1,field_1,optitype,0
INCOV001-CV,DQB1,field_1,phlat,0.5
INCOV001-CV,DQB1,field_2,arcasHLA,0
INCOV001-CV,DQB1,field_2,hlaminer,0
INCOV001-CV,DQB1,field_2,optitype,0
INCOV001-CV,DQB1,field_2,phlat,0
INCOV001-CV,DQB1,field_3,arcasHLA,0
INCOV001-CV,DQB1,field_3,hlaminer,0
INCOV001-CV,DQB1,field_3,optitype,0
INCOV001-CV,DQB1,field_3,phlat,0
INCOV001-CV,DRB1,field_1,arcasHLA,0
INCOV001-CV,DRB1,field_1,hlaminer,0
INCOV001-CV,DRB1,field_1,optitype,0
INCOV001-CV,DRB1,field_1,phlat,0
INCOV001-CV,DRB1,field_2,arcasHLA,0
INCOV001-CV,DRB1,field_2,hlaminer,0
INCOV001-CV,DRB1,field_2,optitype,0
INCOV001-CV,DRB1,field_2,phlat,0
INCOV001-CV,DRB1,field_3,arcasHLA,0
INCOV001-CV,DRB1,field_3,hlaminer,0
INCOV001-CV,DRB1,field_3,optitype,0
INCOV001-CV,DRB1,field_3,phlat,0
INCOV001-CV,DRB3,field_1,arcasHLA,0
INCOV001-CV,DRB3,field_1,hlaminer,1
INCOV001-CV,DRB3,field_1,optitype,0
INCOV001-CV,DRB3,field_1,phlat,0
INCOV001-CV,DRB3,field_2,arcasHLA,0
INCOV001-CV,DRB3,field_2,hlaminer,1
INCOV001-CV,DRB3,field_2,optitype,0
INCOV001-CV,DRB3,field_2,phlat,0
INCOV001-CV,DRB3,field_3,arcasHLA,0
INCOV001-CV,DRB3,field_3,hlaminer,0
INCOV001-CV,DRB3,field_3,optitype,0
